volcano_number,volcano_name,primary_volcano_type,country,latitude,longitude,elevation,tectonic_settings,evidence_category
221080,Erta Ale,Shield,Ethiopia,13.6,40.67,613,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221090,Ale Bagu,Stratovolcano,Ethiopia,13.512,40.631,988,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221091,Hayli Gubbi,Shield,Ethiopia,13.51,40.722,493,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221100,Dubbi,Stratovolcano,Eritrea,13.579,41.809,1625,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221101,Nabro,Stratovolcano,Eritrea,13.37,41.7,2218,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221102,Mallahle,Stratovolcano,Ethiopia-Eritrea,13.27,41.65,1875,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain
221103,Sork Ale,Stratovolcano,Ethiopia-Eritrea,13.18,41.725,1611,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain
221104,Asavyo,Shield,Ethiopia,13.098,41.599,1338,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221105,Mat Ala,Shield,Ethiopia,13.106,41.161,493,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221106,Tat Ali,Shield,Ethiopia,13.284,41.063,655,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221107,Borawli,Stratovolcano,Ethiopia,13.304,40.987,784,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221110,Afdera,Stratovolcano,Ethiopia,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain
221111,Ma Alalta,Stratovolcano,Ethiopia,13.013,40.185,1745,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221112,Alayta,Shield,Ethiopia,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221113,Dabbahu,Stratovolcano,Ethiopia,12.595,40.48,1401,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221114,Dabbayra,Shield,Ethiopia,12.38,40.07,1302,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221115,Manda Hararo,Shield(s),Ethiopia,12.17,40.82,600,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221116,Groppo,Volcanic field,Ethiopia,11.816,40.242,852,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221120,Kurub,Shield,Ethiopia,11.88,41.208,625,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221122,Manda-Inakir,Fissure vent(s),Ethiopia-Djibouti,12.38,42.2,600,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221123,Mousa Alli,Stratovolcano,Ethiopia-Eritrea-Djibouti,12.469,42.404,1993,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221124,Gufa,Volcanic field,Eritrea-Djibouti,12.55,42.53,600,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221125,Assab Volcanic Field,Volcanic field,Eritrea,12.95,42.43,987,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221126,Ardoukoba,Fissure vent(s),Djibouti,11.58,42.47,298,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221127,Manda Gargori,Fissure vent(s),Ethiopia,11.75,41.48,700,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221141,Dama Ali,Shield,Ethiopia,11.28,41.63,1068,Rift zone / Intermediate crust (15-25 km),Eruption Observed
221150,Gabillema,Stratovolcano,Ethiopia,11.08,41.27,1459,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221151,Yangudi,Complex,Ethiopia,10.58,41.042,1383,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221160,Ayelu,Stratovolcano,Ethiopia,10.082,40.702,2145,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221170,Adwa,Stratovolcano,Ethiopia,10.063,40.831,1670,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221171,Hertali,Fissure vent,Ethiopia,9.78,40.33,900,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221172,Liado Hayk,Maar(s),Ethiopia,9.57,40.28,878,Rift zone / Continental crust (>25 km),Evidence Uncertain
221180,Dofan,Shield,Ethiopia,9.35,40.13,1151,Rift zone / Continental crust (>25 km),Evidence Credible
221190,Fentale,Stratovolcano,Ethiopia,8.975,39.93,2007,Rift zone / Continental crust (>25 km),Eruption Observed
221191,Beru,Volcanic field,Ethiopia,8.95,39.75,1100,Rift zone / Continental crust (>25 km),Evidence Credible
221200,Kone,Caldera(s),Ethiopia,8.788,39.701,1380,Rift zone / Continental crust (>25 km),Eruption Observed
221210,Boset-Bericha,Stratovolcano(es),Ethiopia,8.558,39.475,2447,Rift zone / Continental crust (>25 km),Evidence Credible
221220,Bishoftu Volcanic Field,Fissure vent(s),Ethiopia,8.78,38.98,1850,Rift zone / Continental crust (>25 km),Evidence Credible
221222,Sodore,Pyroclastic cone(s),Ethiopia,8.43,39.35,1765,Intraplate / Continental crust (>25 km),Evidence Credible
221230,Gedamsa,Caldera,Ethiopia,8.357,39.188,1873,Rift zone / Continental crust (>25 km),Evidence Credible
221240,Bora-Bericcio,Pyroclastic cone(s),Ethiopia,8.221,39.05,2267,Rift zone / Continental crust (>25 km),Evidence Credible
221250,Tullu Moye,Pyroclastic cone,Ethiopia,8.159,39.137,2343,Rift zone / Continental crust (>25 km),Eruption Observed
221251,Unnamed,Fissure vent(s),Ethiopia,8.013,39.062,1886,Intraplate / Continental crust (>25 km),Evidence Credible
221252,East Ziway,Fissure vent(s),Ethiopia,7.874,38.902,1889,Rift zone / Continental crust (>25 km),Evidence Credible
221260,Butajiri-Silti Field,Fissure vent(s),Ethiopia,8.05,38.35,2281,Rift zone / Continental crust (>25 km),Evidence Credible
221270,Aluto,Stratovolcano,Ethiopia,7.77,38.78,2335,Rift zone / Continental crust (>25 km),Eruption Dated
221280,O'a Caldera,Caldera,Ethiopia,7.47,38.58,2075,Rift zone / Continental crust (>25 km),Evidence Credible
221290,Corbetti Caldera,Caldera,Ethiopia,7.193,38.39,2320,Rift zone / Continental crust (>25 km),Evidence Credible
221291,Bilate River Field,Maar(s),Ethiopia,7.07,38.1,1700,Intraplate / Continental crust (>25 km),Unrest / Holocene
221292,Tepi,Shield,Ethiopia,7.42,35.43,2728,Intraplate / Continental crust (>25 km),Unrest / Holocene
221294,Northern Lake Abaya Volcanic Field,Volcanic field,Ethiopia,6.76,37.97,1594,Intraplate / Continental crust (>25 km),Evidence Credible
221311,East Chamo Basin,Pyroclastic cone(s),Ethiopia,5.708,37.713,1150,Rift zone / Intermediate crust (15-25 km),Evidence Credible
221320,Korath Range,Tuff cone(s),Ethiopia,5.1,35.88,912,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain
221330,Mega Volcanic Field,Volcanic field,Ethiopia,3.971,38.213,1500,Rift zone / Intermediate crust (15-25 km),Evidence Credible
222001,North Island,Tuff cone(s),Kenya,4.059,36.049,490,Rift zone / Continental crust (>25 km),Evidence Credible
222010,Central Island,Tuff cone(s),Kenya,3.496,36.04,518,Rift zone / Continental crust (>25 km),Evidence Credible
222020,South Island,Stratovolcano,Kenya,2.63,36.6,800,Rift zone / Continental crust (>25 km),Eruption Observed
222021,Marsabit,Shield,Kenya,2.32,37.97,1707,Rift zone / Continental crust (>25 km),Evidence Uncertain
222030,"Barrier, The",Shield,Kenya,2.32,36.57,1032,Rift zone / Continental crust (>25 km),Eruption Observed
222040,Namarunu,Shield,Kenya,1.98,36.43,817,Rift zone / Continental crust (>25 km),Eruption Dated
222050,Segererua Plateau,Pyroclastic cone(s),Kenya,1.57,37.9,699,Rift zone / Continental crust (>25 km),Evidence Credible
222051,Emuruangogolak,Shield,Kenya,1.5,36.33,1285,Rift zone / Continental crust (>25 km),Eruption Dated
222052,Silali,Shield,Kenya,1.15,36.23,1528,Rift zone / Continental crust (>25 km),Eruption Dated
222053,Paka,Shield,Kenya,0.92,36.18,1697,Rift zone / Continental crust (>25 km),Eruption Dated
222054,Korosi,Shield,Kenya,0.77,36.12,1446,Rift zone / Continental crust (>25 km),Evidence Credible
222055,Ol Kokwe,Shield,Kenya,0.62,36.075,1130,Rift zone / Continental crust (>25 km),Evidence Credible
222056,Nyambeni Hills,Shield,Kenya,0.23,37.87,750,Rift zone / Continental crust (>25 km),Evidence Credible
222060,Menengai,Shield,Kenya,-0.2,36.07,2278,Rift zone / Continental crust (>25 km),Eruption Dated
222070,Homa Mountain,Complex,Kenya,-0.38,34.5,1751,Rift zone / Continental crust (>25 km),Evidence Credible
222071,Elmenteita Badlands,Pyroclastic cone(s),Kenya,-0.52,36.27,2126,Rift zone / Continental crust (>25 km),Evidence Credible
222080,"Eburru, Ol Doinyo",Complex,Kenya,-0.65,36.22,2856,Rift zone / Continental crust (>25 km),Evidence Credible
222090,Olkaria,Pyroclastic cone(s),Kenya,-0.904,36.292,2434,Rift zone / Continental crust (>25 km),Eruption Dated
222100,Longonot,Stratovolcano,Kenya,-0.914,36.446,2776,Rift zone / Continental crust (>25 km),Eruption Dated
222110,Suswa,Shield,Kenya,-1.151,36.357,2356,Rift zone / Continental crust (>25 km),Evidence Credible
222120,"Lengai, Ol Doinyo",Stratovolcano,Tanzania,-2.764,35.914,2962,Rift zone / Continental crust (>25 km),Eruption Observed
222130,Chyulu Hills,Volcanic field,Kenya,-2.68,37.88,2188,Rift zone / Continental crust (>25 km),Eruption Dated
222160,Meru,Stratovolcano,Tanzania,-3.25,36.75,4565,Rift zone / Continental crust (>25 km),Eruption Observed
222161,Igwisi Hills,Pyroclastic cone(s),Tanzania,-4.889,31.933,1146,Rift zone / Continental crust (>25 km),Eruption Dated
222164,Ngozi,Caldera,Tanzania,-8.989,33.554,2614,Rift zone / Continental crust (>25 km),Eruption Dated
222166,Rungwe,Stratovolcano,Tanzania,-9.135,33.668,2953,Rift zone / Continental crust (>25 km),Eruption Dated
222170,Kyejo,Stratovolcano,Tanzania,-9.229,33.792,2176,Rift zone / Continental crust (>25 km),Eruption Observed
223001,Fort Portal,Tuff cone(s),Uganda,0.7,30.25,1615,Rift zone / Continental crust (>25 km),Eruption Dated
223002,Kyatwa,Tuff cone(s),Uganda,0.45,30.25,1430,Rift zone / Continental crust (>25 km),Evidence Uncertain
223003,Katwe-Kikorongo,Tuff cone(s),Uganda,-0.08,29.92,1067,Rift zone / Continental crust (>25 km),Evidence Credible
223004,Bunyaruguru,Maar(s),Uganda,-0.2,30.08,1554,Rift zone / Continental crust (>25 km),Evidence Credible
223005,Katunga,Tuff cone,Uganda,-0.471,30.191,1707,Rift zone / Continental crust (>25 km),Evidence Credible
223020,Nyamulagira,Shield,DR Congo,-1.408,29.2,3058,Rift zone / Continental crust (>25 km),Eruption Observed
223030,Nyiragongo,Stratovolcano,DR Congo,-1.52,29.25,3470,Rift zone / Continental crust (>25 km),Eruption Observed
223040,Karisimbi,Stratovolcano,DR Congo-Rwanda,-1.506,29.45,4490,Rift zone / Continental crust (>25 km),Eruption Dated
223050,Visoke,Stratovolcano,DR Congo-Rwanda,-1.458,29.485,3696,Rift zone / Continental crust (>25 km),Eruption Observed
223060,Muhavura,Stratovolcano,Uganda-Rwanda,-1.383,29.678,4103,Rift zone / Continental crust (>25 km),Evidence Credible
223070,Bufumbira,Pyroclastic cone(s),Uganda,-1.304,29.683,2100,Rift zone / Continental crust (>25 km),Evidence Uncertain
223080,Tshibinda,Pyroclastic cone(s),DR Congo,-2.32,28.75,1460,Rift zone / Continental crust (>25 km),Evidence Credible
224002,San Carlos,Shield,Equatorial Guinea,3.35,8.52,2260,Intraplate / Continental crust (>25 km),Evidence Credible
224003,San Joaquin,Shield,Equatorial Guinea,3.35,8.63,2009,Intraplate / Continental crust (>25 km),Evidence Credible
224004,Santa Isabel,Shield,Equatorial Guinea,3.588,8.762,2999,Intraplate / Continental crust (>25 km),Eruption Observed
224010,Cameroon,Stratovolcano,Cameroon,4.203,9.17,4095,Intraplate / Continental crust (>25 km),Eruption Observed
224011,Tombel Graben,Pyroclastic cone(s),Cameroon,4.758,9.717,500,Intraplate / Continental crust (>25 km),Evidence Credible
224030,Oku Volcanic Field,Stratovolcano,Cameroon,6.25,10.5,3011,Intraplate / Continental crust (>25 km),Evidence Uncertain
225001,Todra Volcanic Field,Pyroclastic cone(s),Niger,17.68,8.5,1780,Intraplate / Continental crust (>25 km),Evidence Credible
225002,Tin Zaouatene Volcanic Field,Volcanic field,Mali,19.83,2.83,700,Intraplate / Continental crust (>25 km),Evidence Credible
225004,Tahalra Volcanic Field,Pyroclastic cone(s),Algeria,22.67,5,1467,Intraplate / Continental crust (>25 km),Evidence Credible
225005,Atakor Volcanic Field,Pyroclastic cone(s),Algeria,23.33,5.83,2918,Intraplate / Continental crust (>25 km),Evidence Credible
225006,Manzaz Volcanic Field,Pyroclastic cone(s),Algeria,23.92,5.83,1672,Intraplate / Continental crust (>25 km),Evidence Credible
225009,"Toh, Tarso",Volcanic field,Chad,21.33,16.33,2000,Intraplate / Continental crust (>25 km),Evidence Credible
225010,"Tousside, Tarso",Stratovolcano,Chad,21.03,16.45,3265,Intraplate / Continental crust (>25 km),Evidence Credible
225020,"Voon, Tarso",Stratovolcano,Chad,20.92,17.28,3100,Intraplate / Continental crust (>25 km),Unrest / Holocene
225021,"Koussi, Emi",Pyroclastic shield,Chad,19.8,18.53,3415,Intraplate / Continental crust (>25 km),Evidence Credible
225030,"Marra, Jebel",Volcanic field,Sudan,12.95,24.27,3042,Intraplate / Continental crust (>25 km),Eruption Dated
225040,Kutum Volcanic Field,Pyroclastic cone(s),Sudan,14.57,25.85,1779,Intraplate / Continental crust (>25 km),Evidence Uncertain
225050,Meidob Volcanic Field,Pyroclastic cone(s),Sudan,15.32,26.47,2000,Intraplate / Continental crust (>25 km),Eruption Dated
225060,Bayuda Volcanic Field,Pyroclastic cone(s),Sudan,18.33,32.75,670,Intraplate / Continental crust (>25 km),Eruption Dated
230010,Sharat Kovakab,Volcanic field,Syria,36.536,40.858,516,Rift zone / Continental crust (>25 km),Evidence Credible
231001,Harrat Ash Shamah,Volcanic field,Syria-Jordan-Saudi Arabia,32.333,37.583,1100,Intraplate / Continental crust (>25 km),Eruption Observed
231010,"Rahah, Harrat ar",Volcanic field,Saudi Arabia,27.8,36.17,1950,Intraplate / Continental crust (>25 km),Evidence Credible
231020,"Uwayrid, Harrat",Volcanic field,Saudi Arabia,27.08,37.25,1920,Intraplate / Continental crust (>25 km),Eruption Dated
231040,"Lunayyir, Harrat",Volcanic field,Saudi Arabia,25.17,37.75,1370,Intraplate / Continental crust (>25 km),Eruption Observed
231050,"Ithnayn, Harrat",Volcanic field,Saudi Arabia,26.58,40.2,1625,Intraplate / Continental crust (>25 km),Evidence Credible
231060,"Khaybar, Harrat",Volcanic field,Saudi Arabia,25.5,40,2093,Intraplate / Continental crust (>25 km),Eruption Observed
231070,"Rahat, Harrat",Volcanic field,Saudi Arabia,23.08,39.78,1744,Intraplate / Continental crust (>25 km),Eruption Observed
231071,"Kishb, Harrat",Volcanic field,Saudi Arabia,22.8,41.38,1475,Intraplate / Continental crust (>25 km),Evidence Credible
231072,"Birk, Harrat al",Volcanic field,Saudi Arabia,18.37,41.63,587,Intraplate / Continental crust (>25 km),Evidence Credible
231080,"Yar, Jabal",Volcanic field,Saudi Arabia,17.05,42.83,305,Intraplate / Continental crust (>25 km),Eruption Observed
231090,"Arhab, Harra of",Volcanic field,Yemen,15.63,44.08,3100,Intraplate / Continental crust (>25 km),Eruption Observed
231100,"Marha, Jabal el-",Tuff cone,Yemen,15.245,44.236,2506,Intraplate / Continental crust (>25 km),Evidence Uncertain
231110,"Haylan, Jabal",Volcanic field,Yemen,15.4,45.1,1550,Intraplate / Continental crust (>25 km),Eruption Dated
231120,"Dhamar, Harras of",Volcanic field,Yemen,14.57,44.67,3500,Intraplate / Continental crust (>25 km),Eruption Observed
231160,"Sawad, Harra Es-",Volcanic field,Yemen,13.58,46.12,1737,Intraplate / Continental crust (>25 km),Eruption Observed
231170,"Bal Haf, Harra of",Volcanic field,Yemen,14.067,48.3,604,Intraplate / Continental crust (>25 km),Evidence Credible
231180,Bir Borhut,Volcanic field,Yemen,15.515,50.935,464,Intraplate / Continental crust (>25 km),Evidence Uncertain
232001,Sahand,Stratovolcano,Iran,37.75,46.43,3707,Intraplate / Continental crust (>25 km),Evidence Credible
232002,Sabalan,Stratovolcano,Iran,38.268,47.835,4784,Intraplate / Continental crust (>25 km),Evidence Credible
232010,Damavand,Stratovolcano,Iran,35.951,52.109,5670,Intraplate / Continental crust (>25 km),Eruption Dated
232030,Bazman,Stratovolcano,Iran,28.07,60,3490,Intraplate / Continental crust (>25 km),Unrest / Holocene
232040,Kuh-e Nader,Volcanic field,Iran,28.17,60.67,1500,Intraplate / Continental crust (>25 km),Evidence Uncertain
232050,Taftan,Stratovolcano,Iran,28.6,61.13,3940,Intraplate / Continental crust (>25 km),Evidence Credible
233001,"Grille, La",Shield,Comoros,-11.47,43.33,1087,Intraplate / Oceanic crust (< 15 km),Evidence Credible
233005,Mayotte,Shield,France,-12.83,45.17,660,Intraplate / Oceanic crust (< 15 km),Eruption Observed
233010,Karthala,Shield,Comoros,-11.75,43.38,2361,Intraplate / Oceanic crust (< 15 km),Eruption Observed
233011,Ambre-Bobaomby,Volcanic field,Madagascar,-12.6,49.15,1475,Intraplate / Continental crust (>25 km),Evidence Credible
233012,Nosy-Be,Pyroclastic cone(s),Madagascar,-13.32,48.48,214,Intraplate / Continental crust (>25 km),Evidence Credible
233013,Ankaizina Field,Pyroclastic cone(s),Madagascar,-14.3,48.67,2878,Intraplate / Continental crust (>25 km),Evidence Credible
233014,Itasy Volcanic Field,Pyroclastic cone(s),Madagascar,-19.033,46.7,1800,Intraplate / Continental crust (>25 km),Eruption Dated
233015,Vakinankaratra,Pyroclastic cone(s),Madagascar,-19.85,46.942,2644,Intraplate / Continental crust (>25 km),Evidence Credible
233020,"Fournaise, Piton de la",Shield,France,-21.244,55.708,2632,Intraplate / Oceanic crust (< 15 km),Eruption Observed
234000,Boomerang Seamount,Submarine,France,-37.721,77.825,-650,Rift zone / Oceanic crust (< 15 km),Eruption Dated
234001,Amsterdam Island,Stratovolcano,France,-37.83,77.52,881,Rift zone / Oceanic crust (< 15 km),Evidence Credible
234002,St. Paul,Stratovolcano,France,-38.72,77.53,268,Rift zone / Oceanic crust (< 15 km),Eruption Observed
234010,Heard,Stratovolcano,Australia,-53.106,73.513,2745,Intraplate / Oceanic crust (< 15 km),Eruption Observed
234011,McDonald Islands,Complex,Australia,-53.03,72.6,230,Intraplate / Oceanic crust (< 15 km),Eruption Observed
234020,Kerguelen Islands,Stratovolcano(es),France,-49.58,69.5,1840,Intraplate / Oceanic crust (< 15 km),Evidence Uncertain
234030,"Est, Ile de l'",Stratovolcano,France,-46.43,52.2,1090,Rift zone / Oceanic crust (< 15 km),Evidence Uncertain
234040,"Possession, Ile de la",Stratovolcano,France,-46.42,51.75,934,Rift zone / Oceanic crust (< 15 km),Evidence Credible
234050,"Cochons, Ile aux",Stratovolcano,France,-46.1,50.23,775,Rift zone / Oceanic crust (< 15 km),Evidence Credible
234060,Prince Edward Island,Shield,South Africa,-46.63,37.95,672,Rift zone / Oceanic crust (< 15 km),Evidence Credible
234070,Marion Island,Shield(s),South Africa,-46.9,37.75,1230,Rift zone / Oceanic crust (< 15 km),Eruption Observed
241010,Kaikohe-Bay of Islands,Volcanic field,New Zealand,-35.3,173.9,388,Subduction zone / Continental crust (>25 km),Eruption Dated
241011,Whangarei,Pyroclastic cone(s),New Zealand,-35.75,174.27,397,Subduction zone / Continental crust (>25 km),Evidence Uncertain
241020,Auckland Volcanic Field,Volcanic field,New Zealand,-36.9,174.87,260,Subduction zone / Continental crust (>25 km),Eruption Dated
241021,Mayor Island,Shield,New Zealand,-37.28,176.25,355,Subduction zone / Continental crust (>25 km),Eruption Dated
241030,Taranaki,Stratovolcano,New Zealand,-39.3,174.07,2518,Subduction zone / Continental crust (>25 km),Eruption Observed
241040,Whakaari/White Island,Stratovolcano(es),New Zealand,-37.52,177.18,294,Subduction zone / Continental crust (>25 km),Eruption Observed
241050,Okataina,Lava dome(s),New Zealand,-38.12,176.5,1111,Subduction zone / Continental crust (>25 km),Eruption Observed
241060,Reporoa,Caldera,New Zealand,-38.42,176.33,592,Subduction zone / Continental crust (>25 km),Eruption Dated
241061,Maroa,Caldera(s),New Zealand,-38.42,176.08,897,Subduction zone / Continental crust (>25 km),Eruption Dated
241070,Taupo,Caldera,New Zealand,-38.82,176,760,Subduction zone / Continental crust (>25 km),Eruption Dated
241080,Tongariro,Stratovolcano(es),New Zealand,-39.157,175.632,1978,Subduction zone / Continental crust (>25 km),Eruption Observed
241100,Ruapehu,Stratovolcano,New Zealand,-39.28,175.57,2797,Subduction zone / Continental crust (>25 km),Eruption Observed
241101,Clark,Submarine,New Zealand,-36.446,177.839,-860,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene
241102,Tangaroa,Submarine,New Zealand,-36.321,178.028,-600,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene
241110,Rumble V,Submarine,New Zealand,-36.142,178.196,-400,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene
241120,Rumble IV,Submarine,New Zealand,-36.13,178.05,-500,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene
241130,Rumble III,Submarine,New Zealand,-35.745,178.478,-220,Subduction zone / Oceanic crust (< 15 km),Eruption Observed
241131,Rumble II West,Submarine,New Zealand,-35.353,178.527,-1200,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene
241140,Healy,Submarine,New Zealand,-35.004,178.973,-980,Subduction zone / Oceanic crust (< 15 km),Eruption Dated
241150,Brothers,Submarine,New Zealand,-34.875,179.075,-1350,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene
